order_id,order_date,customer_id,customer_segment,country,city,product_category,product_name,quantity,unit_price,discount_applied,tax_amount,total_amount,payment_method,order_status,updated_at
1,10-01-2023,C6209,Corporate,India,Mumbai,Electronics,Headphones,1,2486,150,248.6,2584.6,Cash,Returned,10-01-2023
2,05-04-2021,C2334,Corporate,India,Mumbai,Fashion,Jeans,3,1818,100,545.4,5899.4,Cash,Cancelled,05-04-2021
3,04-02-2025,C4408,Consumer,Germany,Munich,Home Appliances,Washing Machine,2,1862,100,372.4,3996.4,Cash,Returned,04-02-2025
4,28-06-2022,C6555,Corporate,Germany,Berlin,Groceries,Oil,4,613,50,245.2,2647.2,Credit Card,Cancelled,28-06-2022
5,02-06-2022,C5767,Corporate,UK,Manchester,Electronics,Headphones,1,2406,100,240.6,2546.6,UPI,Completed,02-06-2022
6,18-06-2021,C5006,Corporate,India,Delhi,Electronics,Laptop,4,2702,100,1080.8,11788.8,UPI,Completed,18-06-2021
7,21-03-2021,C9001,Corporate,Germany,Berlin,Fashion,Jeans,3,961,100,288.3,3071.3,Credit Card,Cancelled,21-03-2021
8,04-01-2022,C1046,Home Office,India,Bangalore,Electronics,Mobile,5,2579,100,1289.5,14084.5,Debit Card,Cancelled,04-01-2022
9,03-08-2021,C8187,Consumer,USA,San Francisco,Groceries,Rice,2,2217,150,443.4,4727.4,Cash,Returned,03-08-2021
10,07-05-2024,C7621,Consumer,UK,Manchester,Fashion,Jeans,3,326,0,97.8,1075.8,Debit Card,Returned,07-05-2024
11,08-07-2025,C6740,Home Office,India,Mumbai,Electronics,Headphones,2,2529,0,505.8,5563.8,UPI,Completed,08-07-2025
12,02-03-2022,C4231,Home Office,USA,New York,Electronics,Laptop,5,2849,0,1424.5,15669.5,Debit Card,Cancelled,02-03-2022
13,30-11-2023,C7309,Home Office,UK,Manchester,Home Appliances,Refrigerator,3,2750,50,825,9025,UPI,Cancelled,30-11-2023
14,31-08-2024,C3492,Consumer,UK,Manchester,Fashion,Shoes,3,1683,150,504.9,5403.9,Net Banking,Cancelled,31-08-2024
15,16-11-2021,C5007,Consumer,UK,Manchester,Electronics,Mobile,5,812,100,406,4366,Net Banking,Returned,16-11-2021
16,06-03-2022,C6307,Corporate,UK,London,Home Appliances,Refrigerator,4,255,50,102,1072,Debit Card,Returned,06-03-2022
17,10-09-2025,C2551,Corporate,India,Bangalore,Fashion,Jeans,2,2666,150,533.2,5715.2,Net Banking,Completed,10-09-2025
18,01-12-2022,C1524,Corporate,Germany,Munich,Electronics,Headphones,3,1322,50,396.6,4312.6,UPI,Completed,01-12-2022
19,12-12-2024,C2532,Corporate,UK,Manchester,Fashion,Jeans,2,389,50,77.8,805.8,Debit Card,Returned,12-12-2024
20,28-06-2021,C7322,Consumer,UK,Manchester,Home Appliances,Washing Machine,1,2810,150,281,2941,UPI,Completed,28-06-2021
21,17-09-2021,C9603,Consumer,Germany,Berlin,Fashion,Jeans,1,937,150,93.7,880.7,Debit Card,Cancelled,17-09-2021
22,31-01-2024,C8152,Consumer,UK,London,Electronics,Headphones,5,1539,100,769.5,8364.5,Debit Card,Completed,31-01-2024
23,02-04-2023,C7044,Home Office,Germany,Berlin,Electronics,Mobile,1,281,0,28.1,309.1,Cash,Returned,02-04-2023
24,09-07-2025,C1009,Home Office,Germany,Munich,Fashion,Jeans,1,1596,100,159.6,1655.6,Cash,Cancelled,09-07-2025
25,10-01-2023,C5429,Corporate,India,Bangalore,Fashion,Jeans,4,1331,150,532.4,5706.4,Debit Card,Returned,10-01-2023
26,12-10-2022,C5019,Home Office,India,Mumbai,Electronics,Headphones,4,2245,50,898,9828,Credit Card,Cancelled,12-10-2022
27,22-11-2023,C1936,Consumer,Germany,Berlin,Electronics,Laptop,3,331,50,99.3,1042.3,Net Banking,Completed,22-11-2023
28,09-12-2024,C3580,Consumer,UK,London,Home Appliances,Refrigerator,4,2693,100,1077.2,11749.2,Debit Card,Returned,09-12-2024
29,04-05-2024,C2184,Home Office,Germany,Munich,Home Appliances,Washing Machine,2,2123,0,424.6,4670.6,UPI,Completed,04-05-2024
30,29-06-2021,C2944,Corporate,UK,Manchester,Fashion,T-Shirt,4,1769,0,707.6,7783.6,Debit Card,Cancelled,29-06-2021
31,22-07-2021,C8756,Home Office,UK,Manchester,Fashion,T-Shirt,2,1349,100,269.8,2867.8,Credit Card,Returned,22-07-2021
32,28-12-2021,C7507,Corporate,USA,Austin,Home Appliances,Washing Machine,1,1433,0,143.3,1576.3,Credit Card,Cancelled,28-12-2021
33,03-05-2025,C8615,Corporate,Germany,Berlin,Groceries,Spices,2,1455,100,291,3101,Debit Card,Completed,03-05-2025
34,06-11-2022,C6650,Home Office,India,Mumbai,Electronics,Laptop,3,2397,0,719.1,7910.1,UPI,Cancelled,06-11-2022
35,04-02-2023,C9247,Home Office,USA,New York,Electronics,Headphones,3,2839,0,851.7,9368.7,Net Banking,Completed,04-02-2023
